component	file	line	marker	text
patient	patient-app/app/(tabs)/health.tsx	107	contract	 const waterRes = await apiFetch(`/nutrition/daily-summary?date=${new Date().toISOString().split("T")[0]}`).catch(() => null);
patient	patient-app/app/(tabs)/health.tsx	144	contract	 onPress={() => router.push("/health/health-id")}
patient	patient-app/app/(tabs)/health.tsx	155	contract	 onPress={() => router.push("/health/edit-profile")}
patient	patient-app/app/(tabs)/health.tsx	176	contract	 onPress={() => router.push(q.route as any)}
patient	patient-app/app/(tabs)/health.tsx	205	contract	 onAction={() => router.push("/health/vitals")}
patient	patient-app/app/(tabs)/health.tsx	215	contract	 onPress={() => router.push("/health/vitals")}
patient	patient-app/app/(tabs)/health.tsx	262	contract	 onPress={() => router.push("/(tabs)/nursing")}
patient	patient-app/app/(tabs)/health.tsx	291	contract	 onAction={() => router.push("/consultations/appointments")}
patient	patient-app/app/(tabs)/health.tsx	294	contract	 onPress={() =>
patient	patient-app/app/(tabs)/health.tsx	295	contract	 router.push({
patient	patient-app/app/(tabs)/index.tsx	20	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(tabs)/index.tsx	22	contract	const { width } = Dimensions.get('window');
patient	patient-app/app/(tabs)/index.tsx	65	contract	 if (m[screen]) router.push(m[screen]);
patient	patient-app/app/(tabs)/index.tsx	84	contract	 apiFetch('/home/offers').catch(() => null),
patient	patient-app/app/(tabs)/index.tsx	85	contract	 apiFetch('/home/upcoming-appointment').catch(() => null),
patient	patient-app/app/(tabs)/index.tsx	86	contract	 apiFetch('/users/me/profile').catch(() => null)
patient	patient-app/app/(tabs)/index.tsx	110	contract	 router.push({
patient	patient-app/app/(tabs)/index.tsx	189	contract	 <TouchableOpacity activeOpacity={0.9} style={[styles.homeSearchBar, { borderColor: colors.bd, backgroundColor: colors.s }]} onPress={() => router.push('/search')}>
patient	patient-app/app/(tabs)/index.tsx	198	contract	 <TouchableOpacity activeOpacity={0.8} style={[styles.healthBanner, { borderColor: resolveColor('var(--prs)') }]} onPress={() => go('s19', 'تذكير صحي')}>
patient	patient-app/app/(tabs)/index.tsx	216	contract	 <TouchableOpacity key={i} activeOpacity={0.7} style={[styles.quickItem, { backgroundColor: colors.s, borderColor: colors.bd }]} onPress={() => go(q[4], q[0])}>
patient	patient-app/app/(tabs)/index.tsx	226	contract	 <TouchableOpacity activeOpacity={0.8} style={styles.aiTriage} onPress={() => go('s133', 'المساعد الذكي')}>
patient	patient-app/app/(tabs)/index.tsx	248	contract	 <TouchableOpacity key={i} activeOpacity={0.7} style={[styles.aiTool, { backgroundColor: colors.s, borderColor: colors.bd }]} onPress={() => go(t[3], t[0])}>
patient	patient-app/app/(tabs)/index.tsx	258	contract	 <TouchableOpacity activeOpacity={0.7} style={[styles.allServices, { backgroundColor: colors.s, borderColor: colors.bd }]} onPress={() => go('s158', 'كل الخدمات')}>
patient	patient-app/app/(tabs)/index.tsx	272	contract	 <TouchableOpacity onPress={() => go('s22')}><Text style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>كل المواعيد</Text></TouchableOpacity>
patient	patient-app/app/(tabs)/index.tsx	284	contract	 <TouchableOpacity style={[styles.apptBtn, { backgroundColor: colors.s }]} onPress={() => go('s22')}>
patient	patient-app/app/(tabs)/index.tsx	297	contract	 <TouchableOpacity onPress={() => go('s26')}><Text style={{ fontSize: 12, fontWeight: '700', color: resolveColor('var(--pd)') }}>عرض الكل</Text></TouchableOpacity>
patient	patient-app/app/(tabs)/index.tsx	301	contract	 <TouchableOpacity key={i} activeOpacity={0.9} style={[styles.offerCard, { backgroundColor: colors.s, borderColor: colors.bd, borderWidth: 1 }]} onPress={() => go('s23', o.t, { off
patient	patient-app/app/(tabs)/nursing.tsx	21	contract	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(tabs)/nursing.tsx	23	contract	const { width } = Dimensions.get('window');
patient	patient-app/app/(tabs)/nursing.tsx	54	contract	 apiFetch('/home-care/services').then(setDbServices).catch(console.error);
patient	patient-app/app/(tabs)/nursing.tsx	55	contract	 apiFetch('/home-care/packages').then(setDbPackages).catch(console.error);
patient	patient-app/app/(tabs)/nursing.tsx	93	contract	 router.push({ 
patient	patient-app/app/(tabs)/nursing.tsx	107	contract	 <TouchableOpacity style={[styles.filterBtn, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => setFilterVisible(true)}>
patient	patient-app/app/(tabs)/nursing.tsx	125	contract	 <TouchableOpacity activeOpacity={0.8} style={styles.toggleBtnWrap} onPress={() => setPaymentFlow('insurance')}>
patient	patient-app/app/(tabs)/nursing.tsx	133	contract	 <TouchableOpacity activeOpacity={0.8} style={styles.toggleBtnWrap} onPress={() => setPaymentFlow('cash')}>
patient	patient-app/app/(tabs)/nursing.tsx	148	contract	 <TouchableOpacity key={pkg.id} activeOpacity={0.9} onPress={() => navToService(pkg.id, pkg.title)}>
patient	patient-app/app/(tabs)/nursing.tsx	169	contract	 onPress={() => navToService(svc.id, svc.title)}
patient	patient-app/app/(tabs)/nursing.tsx	180	contract	 <TouchableOpacity style={styles.modalBg} activeOpacity={1} onPress={() => setFilterVisible(false)}>
patient	patient-app/app/(tabs)/nursing.tsx	186	contract	 <TouchableOpacity onPress={resetFilters}>
patient	patient-app/app/(tabs)/nursing.tsx	194	contract	 <TouchableOpacity onPress={() => setGender('any')} style={[gender === 'any' ? styles.filterOptionActive : styles.filterOption]} ><Text style={gender === 'any' ? styles.filterOptio
patient	patient-app/app/(tabs)/nursing.tsx	195	contract	 <TouchableOpacity onPress={() => setGender('male')} style={[gender === 'male' ? styles.filterOptionActive : styles.filterOption]} ><Text style={gender === 'male' ? styles.filterOp
patient	patient-app/app/(tabs)/nursing.tsx	196	contract	 <TouchableOpacity onPress={() => setGender('female')} style={[gender === 'female' ? styles.filterOptionActive : styles.filterOption]} ><Text style={gender === 'female' ? styles.fi
patient	patient-app/app/(tabs)/nursing.tsx	201	contract	 <TouchableOpacity onPress={() => setAvailability('any')} style={[availability === 'any' ? styles.filterOptionActive : styles.filterOption]} ><Text style={availability === 'any' ? 
patient	patient-app/app/(tabs)/nursing.tsx	202	contract	 <TouchableOpacity onPress={() => setAvailability('now')} style={[availability === 'now' ? styles.filterOptionActive : styles.filterOption]} ><Text style={availability === 'now' ? 
patient	patient-app/app/(tabs)/nursing.tsx	208	contract	 <TouchableOpacity onPress={() => setNationality('any')} style={[nationality === 'any' ? styles.filterOptionActive : styles.filterOption]} ><Text style={nationality === 'any' ? sty
