component	file	line	endpoints	classification	marker
patient	patient-app/app/(onboarding)/index.tsx	97	/(onboarding	WIRED_CANDIDATE	router.replace('/(onboarding)/language');
patient	patient-app/app/(onboarding)/index.tsx	167		UI_ACTION_REVIEW	<TouchableOpacity onPress={handleSkip} style={styles.skipBtn}>
patient	patient-app/app/(onboarding)/index.tsx	202		UI_ACTION_REVIEW	<TouchableOpacity onPress={handleNext} activeOpacity={0.85}>
patient	patient-app/app/(onboarding)/language.tsx	40		UI_ACTION_REVIEW	onPress={() => setSelected(l.code)}
patient	patient-app/app/(onboarding)/language.tsx	58	/(auth	WIRED_CANDIDATE	"<Button label=""متابعة"" variant=""gradient"" size=""lg"" iconRight=""chevronLeft"" onPress={() => { setLang(selected); router.replace('/(auth)/welcome'); }} />"
patient	patient-app/app/(onboarding)/permissions.tsx	60		UI_ACTION_REVIEW	if (next.has(id)) next.delete(id);
patient	patient-app/app/(onboarding)/permissions.tsx	74	/(auth	WIRED_CANDIDATE	"router.replace(""/(auth)/welcome"");"
patient	patient-app/app/(onboarding)/permissions.tsx	101		UI_ACTION_REVIEW	onPress={() => handleGrant(perm.id)}
patient	patient-app/app/(onboarding)/permissions.tsx	168		UI_ACTION_REVIEW	<Button
patient	patient-app/app/(onboarding)/permissions.tsx	173		UI_ACTION_REVIEW	onPress={handleContinue}
patient	patient-app/app/(onboarding)/permissions.tsx	175		UI_ACTION_REVIEW	<TouchableOpacity onPress={handleContinue} style={{ marginTop: 8 }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	21		UI_ACTION_REVIEW	import { apiFetch } from '../../../src/utils/api';
patient	patient-app/app/(tabs)/consultations/index.tsx	29		UI_ACTION_REVIEW	router.push(`/consultations/doctor/${params?.doc?.id || params?.id || 'd1'}`);
patient	patient-app/app/(tabs)/consultations/index.tsx	31	/ai-assistant	WIRED_CANDIDATE	router.push('/ai-assistant');
patient	patient-app/app/(tabs)/consultations/index.tsx	83	/providers?type=doctor	WIRED_CANDIDATE	const data = await apiFetch('/providers?type=doctor');
patient	patient-app/app/(tabs)/consultations/index.tsx	193		UI_ACTION_REVIEW	onPress={() => setShowFilter(true)}
patient	patient-app/app/(tabs)/consultations/index.tsx	204		UI_ACTION_REVIEW	<TouchableOpacity key={vt.id} activeOpacity={0.8} style={[styles.vtBtn, { backgroundColor: isActive ? resolveColor('var(--p)') : colors.s, borderColor: isActive ? resolveColor('va
patient	patient-app/app/(tabs)/consultations/index.tsx	214		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.segmentBtn, activePay === 'الكل' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('الكل')}>
patient	patient-app/app/(tabs)/consultations/index.tsx	217		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.segmentBtn, activePay === 'كاش' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => setActivePay('كاش')}>
patient	patient-app/app/(tabs)/consultations/index.tsx	220		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.segmentBtn, activePay === 'تأمين' && { backgroundColor: resolveColor('var(--n)') }]} onPress={() => { setActivePay('تأمين'); setStepIns(
patient	patient-app/app/(tabs)/consultations/index.tsx	234		UI_ACTION_REVIEW	<TouchableOpacity key={i} activeOpacity={0.7} onPress={() => setActiveSpec(sp[0])} style={[styles.specBtn, { backgroundColor: isActive ? resolveColor(sp[3]) : colors.s, borderColo
patient	patient-app/app/(tabs)/consultations/index.tsx	254		UI_ACTION_REVIEW	<TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, {
patient	patient-app/app/(tabs)/consultations/index.tsx	320		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	336		UI_ACTION_REVIEW	<TouchableOpacity key={i} activeOpacity={0.9} onPress={() => router.push(`/consultations/offer/${i}`)} style={[styles.promoCard, { backgroundColor: colors.s, borderColor: colors.b
patient	patient-app/app/(tabs)/consultations/index.tsx	364		UI_ACTION_REVIEW	<TouchableOpacity key={i} activeOpacity={0.9} style={[styles.docCard, { backgroundColor: colors.s, borderColor: colors.bd, overflow: 'hidden' }]} onPress={() => go('s5', doc.n, {
patient	patient-app/app/(tabs)/consultations/index.tsx	430		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => go('s5', doc.n, { doc })} style={{ paddingVertical: 7, paddingHorizontal: 16, borderRadius: 11, backgroundColor: colors.s }}>
patient	patient-app/app/(tabs)/consultations/index.tsx	443		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => { setFilterSort('الأعلى تقييماً'); setFilterTitle('الكل'); setFilterGender('الكل'); setFilterPrice('الكل'); setFilterAvai
patient	patient-app/app/(tabs)/consultations/index.tsx	447		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setShowFilter(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	456		UI_ACTION_REVIEW	<TouchableOpacity key={t} onPress={() => setFilterSort(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterSort === t ? resolveColor(
patient	patient-app/app/(tabs)/consultations/index.tsx	465		UI_ACTION_REVIEW	<TouchableOpacity key={t} onPress={() => setFilterTitle(t)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterTitle === t ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	474		UI_ACTION_REVIEW	<TouchableOpacity key={g} onPress={() => setFilterGender(g)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterGender === g ? resolveCo
patient	patient-app/app/(tabs)/consultations/index.tsx	483		UI_ACTION_REVIEW	<TouchableOpacity key={p} onPress={() => setFilterPrice(p)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterPrice === p ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	492		UI_ACTION_REVIEW	<TouchableOpacity key={a} onPress={() => setFilterAvail(a)} style={{ paddingHorizontal: 16, paddingVertical: 10, borderRadius: 12, backgroundColor: filterAvail === a ? resolveColo
patient	patient-app/app/(tabs)/consultations/index.tsx	498		UI_ACTION_REVIEW	<TouchableOpacity style={{ backgroundColor: resolveColor('var(--p)'), padding: 16, borderRadius: 16, alignItems: 'center', marginTop: 16 }} onPress={() => setShowFilter(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	513		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setStepIns(1)}>
