component	file	line	raw	normalized	review_class
patient	patient-app/app/health/actionable-order.tsx	58	/diagnostics	/diagnostics	API_CANDIDATE_REVIEW
patient	patient-app/app/health/actionable-order.tsx	148	/diagnostics	/diagnostics	API_CANDIDATE_REVIEW
patient	patient-app/app/health/chronic-disease.tsx	133	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/health/chronic-medications.tsx	37	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/health/chronic-medications.tsx	45	/health/medication-reminder-add	/health/medication-reminder-add	API_CANDIDATE_REVIEW
patient	patient-app/app/health/chronic-medications.tsx	109	/health/medication-reminder-add	/health/medication-reminder-add	API_CANDIDATE_REVIEW
patient	patient-app/app/health/family-hub.tsx	279	/family/chat	/family/chat	API_CANDIDATE_REVIEW
patient	patient-app/app/health/health-id.tsx	159	/health/edit-profile	/health/edit-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/health/medication-reminder-add.tsx	77	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/health/medication-reminder-list.tsx	251	/health/chronic-medications	/health/chronic-medications	API_CANDIDATE_REVIEW
patient	patient-app/app/health/prescriptions.tsx	44	/pharmacy/rx-order	/pharmacy/rx-order	API_CANDIDATE_REVIEW
patient	patient-app/app/health/prescriptions.tsx	71	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/health/reminders.tsx	271	/health/refills	/health/refills	API_CANDIDATE_REVIEW
patient	patient-app/app/health/vitals-log.tsx	203	/health/conditions-allergies	/health/conditions-allergies	API_CANDIDATE_REVIEW
patient	patient-app/app/health/vitals.tsx	137	/health/vitals-log	/health/vitals-log	API_CANDIDATE_REVIEW
patient	patient-app/app/health/vitals.tsx	178	/health/vitals-log	/health/vitals-log	API_CANDIDATE_REVIEW
patient	patient-app/app/health/vitals.tsx	184	/health/vitals-log	/health/vitals-log	API_CANDIDATE_REVIEW
patient	patient-app/app/health/vitals.tsx	187	/health/conditions-allergies	/health/conditions-allergies	API_CANDIDATE_REVIEW
patient	patient-app/app/health/wearables.tsx	37	/health/wearables/devices	/health/wearables/devices	API_CANDIDATE_REVIEW
patient	patient-app/app/health/wearables.tsx	38	/health/wearables/data	/health/wearables/data	API_CANDIDATE_REVIEW
patient	patient-app/app/health/wearables.tsx	58	/health/sleep-tracker	/health/sleep-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/index.tsx	36	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/index.tsx	38	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/index.tsx	41	/(auth	/(auth	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/insurance/approval-pending.tsx	63	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/insurance/benefits-summary.tsx	21	/insurance/benefits-summary	/insurance/benefits-summary	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/claim-tracking.tsx	30	/api/v1/insurance/claims/my	/insurance/claims/my	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/claim-tracking.tsx	48	/insurance/submit-claim	/insurance/submit-claim	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/claim-tracking.tsx	112	/insurance/refund-status	/insurance/refund-status	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/copay.tsx	32	/provider/jobs/insurance-copay	/provider/jobs/insurance-copay	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/copay.tsx	38	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/insurance/hub.tsx	211	/insurance/add-policy	/insurance/add-policy	API_CANDIDATE_REVIEW
