file	line	method	endpoint	source
patient-app/nabd_plus/app/diagnostics/orders.tsx	32	GET	/radiology/bookings/mine	apiFetch
patient-app/nabd_plus/app/diagnostics/package-detail.tsx	27	GET	/labs/packages/${id}	apiFetch
patient-app/nabd_plus/app/diagnostics/packages.tsx	28	GET	/labs/packages	apiFetch
patient-app/nabd_plus/app/diagnostics/packages.tsx	29	GET	/labs/categories	apiFetch
patient-app/nabd_plus/app/diagnostics/search.tsx	29	GET	/labs/services	apiFetch
patient-app/nabd_plus/app/diagnostics/technician-tracking.tsx	35	GET	/labs/bookings/${bookingId}	apiFetch
patient-app/nabd_plus/app/drug-scanner/index.tsx	35	POST	/health/medications	apiFetch
patient-app/nabd_plus/app/drug-scanner/index.tsx	47	POST	/ai/drug-interactions	apiFetch
patient-app/nabd_plus/app/emergency/sos-active.tsx	42	GET	/emergency/my/active	apiFetch
patient-app/nabd_plus/app/emergency/sos-active.tsx	79	POST	/emergency/${sosId}/cancel	apiFetch
patient-app/nabd_plus/app/emergency/tracking.tsx	33	GET	/emergency/tracking	apiFetch
patient-app/nabd_plus/app/family/calendar.tsx	49	POST	/family/calendar	apiFetch
patient-app/nabd_plus/app/family/calendar.tsx	71	POST	/family/calendar/event	apiFetch
patient-app/nabd_plus/app/family/calendar.tsx	101	DELETE	/family/calendar/event/${id}	apiFetch
patient-app/nabd_plus/app/family/chat.tsx	46	GET	/family/chat/messages	apiFetch
patient-app/nabd_plus/app/family/chat.tsx	62	POST	/users/me/profile	apiFetch
patient-app/nabd_plus/app/family/chat.tsx	67	POST	/family/members	apiFetch
patient-app/nabd_plus/app/family/chat.tsx	86	POST	/family/chat/messages	apiFetch
patient-app/nabd_plus/app/family/hub.tsx	77	GET	/family/members	apiFetch
patient-app/nabd_plus/app/family/invite.tsx	31	POST	/family/invite	apiFetch
patient-app/nabd_plus/app/family/join.tsx	44	POST	/family/join	apiFetch
patient-app/nabd_plus/app/family/member-health.tsx	49	GET	/family/member-records/${memberId}	apiFetch
patient-app/nabd_plus/app/family/permission-request.tsx	24	GET	/family/permissions/pending	apiFetch
patient-app/nabd_plus/app/family/permission-request.tsx	52	PUT	/family/permissions/respond/${requestInfo._id || requestInfo.id}	apiFetch
patient-app/nabd_plus/app/family/permissions.tsx	119	GET	/family/my-group	apiFetch
patient-app/nabd_plus/app/family/permissions.tsx	147	PATCH	/family/member/${memberId}/permissions	apiFetch
patient-app/nabd_plus/app/family/permissions.tsx	153	POST	/family/permissions/request	apiFetch
patient-app/nabd_plus/app/family/permissions.tsx	186	DELETE	/family/remove-member/${memberId}	apiFetch
patient-app/nabd_plus/app/health/chronic-disease.tsx	26	GET	/health/chronic-diseases	apiFetch
patient-app/nabd_plus/app/health/chronic-disease.tsx	27	GET	/health/vitals	apiFetch
patient-app/nabd_plus/app/health/chronic-medications.tsx	23	GET	/health/chronic-meds	apiFetch
patient-app/nabd_plus/app/health/conditions-allergies.tsx	86	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/health/conditions-allergies.tsx	124	PATCH	/users/me/profile	apiFetch
patient-app/nabd_plus/app/health/edit-profile.tsx	129	PATCH	/users/me/profile	apiFetch
patient-app/nabd_plus/app/health/edit-profile.tsx	142	PATCH	/users/me/profile	apiFetch
patient-app/nabd_plus/app/health/emergency-contacts.tsx	38	POST	/health/emergency-contacts	apiFetch
patient-app/nabd_plus/app/health/emergency-contacts.tsx	56	POST	/health/emergency-contacts	apiFetch
patient-app/nabd_plus/app/health/emergency-contacts.tsx	83	DELETE	/health/emergency-contacts/${c.id}	apiFetch
patient-app/nabd_plus/app/health/family-hub.tsx	80	POST	/family/my-group	apiFetch
patient-app/nabd_plus/app/health/family-hub.tsx	82	POST	/family/members	apiFetch
patient-app/nabd_plus/app/health/family-hub.tsx	99	POST	/family/create	apiFetch
patient-app/nabd_plus/app/health/health-id.tsx	37	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/health/health-id.tsx	38	GET	/health/emergency-contacts	apiFetch
patient-app/nabd_plus/app/health/health-id.tsx	39	GET	/health/chronic-meds	apiFetch
patient-app/nabd_plus/app/health/medication-reminder-add.tsx	79	POST	/health/reminders	apiFetch
