component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/consultations/appointment-detail.tsx	172	/consultations/virtual-waiting-room	/consultations/virtual-waiting-room	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointment-detail.tsx	182	/consultations/clinic-location	/consultations/clinic-location	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointment-detail.tsx	192	/consultations/home-visit-tracking	/consultations/home-visit-tracking	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/appointments.tsx	166	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-confirm.tsx	56	/users/me/profile	/users/me/profile	MATCHED_ROUTE	GET /users/me/profile (backend/src/modules/users/users.controller.ts:11)|PATCH /users/me/profile (backend/src/modules/users/users.controller.ts:16)
patient	patient-app/app/consultations/booking-confirm.tsx	122	/care/appointments	/care/appointments	MATCHED_ROUTE	POST /care/appointments (backend/src/modules/care/appointments.controller.ts:14)|GET /care/appointments (backend/src/modules/care/appointments.controller.ts:19)
patient	patient-app/app/consultations/booking-confirm.tsx	258	/profile/insurance	/profile/insurance	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-success.tsx	53	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-success.tsx	57	/consultations/appointments	/consultations/appointments	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-success.tsx	62	/consultations/clinic-location	/consultations/clinic-location	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-success.tsx	65	/consultations/home-visit-tracking	/consultations/home-visit-tracking	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/booking-success.tsx	292	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/cancel-reschedule.tsx	34	/consultations/appointments	/consultations/appointments	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/chat-with-doctor.tsx	113	/consultations/video-call	/consultations/video-call	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/chat-with-doctor.tsx	116	/consultations/video-call	/consultations/video-call	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/doctor-profile.tsx	92	/care/appointments/waitlist/join	/care/appointments/waitlist/join	MATCHED_ROUTE	POST /care/appointments/waitlist/join (backend/src/modules/care/appointments.controller.ts:29)
patient	patient-app/app/consultations/doctor-profile.tsx	300	/(auth	/(auth	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/doctor-profile.tsx	300	/insurance/add-policy	/insurance/add-policy	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/doctor-profile.tsx	556	/consultations/doctor-profile	/consultations/doctor-profile	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/follow-up.tsx	92	/consultations/prescription-from-doctor	/consultations/prescription-from-doctor	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/follow-up.tsx	102	/consultations/book/[id]	/consultations/book/[id]	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/follow-up.tsx	137	/consultations/chat-with-doctor	/consultations/chat-with-doctor	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/follow-up.tsx	138	/consultations/book/[id]	/consultations/book/[id]	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/post-call-rating.tsx	47	/care/appointments/rating	/care/appointments/rating	MATCHED_ROUTE	GET /care/appointments/:id (backend/src/modules/care/appointments.controller.ts:24)
patient	patient-app/app/consultations/post-call-rating.tsx	54	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/post-call-rating.tsx	62	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/prescription-from-doctor.tsx	39	/prescriptions/active	/prescriptions/active	MATCHED_ROUTE	GET /prescriptions/:id (backend/src/modules/prescriptions/prescriptions.controller.ts:62)
patient	patient-app/app/consultations/prescription-from-doctor.tsx	63	/pharmacy/rx-order	/pharmacy/rx-order	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/prescription-from-doctor.tsx	285	/consultations/follow-up	/consultations/follow-up	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/prescription-from-doctor.tsx	335	/diagnostics/search	/diagnostics/search	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/share-report.tsx	155	/pharmacy/cart	/pharmacy/cart	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/consultations/specialty-select.tsx	37	/care/specialties	/care/specialties	MATCHED_ROUTE	GET /care/specialties (backend/src/modules/care/care.controller.ts:11)
patient	patient-app/app/consultations/waiting-room.tsx	242	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/delivery/address-select.tsx	35	/users/me/addresses	/users/me/addresses	MATCHED_ROUTE	GET /users/me/addresses (backend/src/modules/users/users.addresses.controller.ts:11)|POST /users/me/addresses (backend/src/modules/users/users.addresses.controller.ts:17)
patient	patient-app/app/delivery/address-select.tsx	73	/shared/location-picker	/shared/location-picker	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/delivery/address-select.tsx	135	/shared/location-picker	/shared/location-picker	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/book-sample.tsx	46	/shared/location-picker	/shared/location-picker	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/book-sample.tsx	121	/pay	/pay	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-confirm.tsx	39	/cart	/cart	MATCHED_ROUTE	GET /cart (backend/src/modules/cart/cart.module.ts:131)
patient	patient-app/app/diagnostics/booking-confirm.tsx	64	/labs/bookings	/labs/bookings	MATCHED_ROUTE	POST /labs/bookings (backend/src/modules/labs/labs.controller.ts:38)
patient	patient-app/app/diagnostics/booking-confirm.tsx	91	/cart/clear	/cart/clear	MATCHED_ROUTE	POST /cart/clear (backend/src/modules/cart/cart.controller.ts:11)|POST /cart/clear (backend/src/modules/cart/cart.module.ts:135)
patient	patient-app/app/diagnostics/booking-confirm.tsx	96	/cart/clear	/cart/clear	MATCHED_ROUTE	POST /cart/clear (backend/src/modules/cart/cart.controller.ts:11)|POST /cart/clear (backend/src/modules/cart/cart.module.ts:135)
patient	patient-app/app/diagnostics/booking-confirm.tsx	104	/insurance/approval-pending	/insurance/approval-pending	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-confirm.tsx	107	/diagnostics/sample-tracking	/diagnostics/sample-tracking	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-confirm.tsx	155	/delivery/address-select	/delivery/address-select	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-success.tsx	87	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-success.tsx	92	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/booking-success.tsx	98	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/cart.tsx	188	/diagnostics/checkout	/diagnostics/checkout	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/checkout.tsx	266	/diagnostics/booking-success	/diagnostics/booking-success	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/checkout.tsx	270	/diagnostics/booking-success	/diagnostics/booking-success	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/insurance-approval.tsx	250	/consultations	/consultations	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/insurance-upload.tsx	58	/providers?type=lab	/providers	MATCHED_ROUTE	GET /providers (backend/src/modules/providers/providers.controller.ts:20)
patient	patient-app/app/diagnostics/insurance-upload.tsx	150	/consultations	/consultations	UNMATCHED_ROUTE_REVIEW	
