path	bytes	no_go	security	payment_insurance	runtime_external	data_mock	performance
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-filters.md	1765	0	0	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-compare.md	1653	0	1	0	0	1	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-pharmacy-wishlist.md	1610	0	2	0	1	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-community-hub.md	1724	0	5	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-community-detail.md	1973	0	5	0	1	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-wallet-hub.md	2266	0	6	12	2	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-wallet-topup.md	1639	0	3	12	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-wallet-transactions.md	1579	0	1	5	0	0	3
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-wallet-cards.md	1939	0	5	6	1	1	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-wallet-transfer.md	1851	0	3	5	0	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-offers-index.md	1420	0	1	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-map.md	2651	0	2	4	1	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-offers-detail.md	1893	0	2	3	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-about.md	1280	0	1	0	1	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-feedback.md	1251	0	2	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-help.md	1459	0	1	0	0	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-terms.md	1438	0	1	4	1	0	0
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-privacy.md	1685	0	3	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-support-chat-real.md	2142	0	3	0	2	1	5
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-notifications.md	1620	0	2	0	2	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-language.md	1254	0	0	0	2	1	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-data.md	1386	0	0	0	2	0	2
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-support-ticket.md	1256	0	3	0	0	0	1
audit-artifacts/phase0-main-audit/semantic-evidence-mobile-settings-security.md	1936	0	9	0	3	0	2
audit-artifacts/phase0-main-audit/web-cta-parity-scan-2026-08-24.txt	18793	0	5	1	9	41	1
audit-artifacts/phase0-main-audit/backend-route-reconciliation-inventory-2026-08-24.txt	16516	0	0	18	8	0	2
audit-artifacts/phase0-main-audit/backend-route-reconciliation-wallet-pharmacy.md	2990	0	5	20	1	0	1
audit-artifacts/phase0-main-audit/backend-route-reconciliation-support-community-programs.md	3257	0	8	1	1	0	0
audit-artifacts/phase0-main-audit/backend-route-reconciliation-auth-otp.md	2611	0	17	0	5	0	0
audit-artifacts/phase0-main-audit/backend-route-reconciliation-unified-bookings.md	2952	0	4	2	4	0	0
audit-artifacts/phase0-main-audit/NABD_PHASE0_FINAL_CLOSURE_2026-08-24.md	7795	2	16	14	9	2	2
audit-artifacts/phase0-main-audit/REVIEWER_DELIVERY_INDEX.md	5055	1	2	1	6	0	0
audit-artifacts/phase0-main-audit/NABD_AUDIT_ARTIFACT_WHITESPACE_EXCEPTIONS_2026-08-24.md	6405	0	15	0	0	0	0
audit-artifacts/phase0b-backend/NABD_Phase0B_Backend_Semantic_Read_Manifest_2026-08-24.tsv	1123716	2	1912	1293	1171	226	769
audit-artifacts/phase0b-backend/NABD_Phase0B_Backend_Provenance_2026-08-24.md	6876	0	16	4	2	0	1
audit-artifacts/phase0b-backend/semantic-evidence-auth-controller.md	4807	0	32	2	7	0	2
audit-artifacts/phase0b-backend/semantic-evidence-patient-pharmacy-controller.md	1585	0	7	1	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-wallet-controller.md	3200	0	10	24	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-orders-controller.md	4431	0	10	9	11	0	5
audit-artifacts/phase0b-backend/semantic-evidence-unified-bookings-module.md	6782	0	8	11	5	2	2
audit-artifacts/phase0b-backend/semantic-evidence-health-controller.md	3195	0	6	2	1	1	0
audit-artifacts/phase0b-backend/semantic-evidence-homecare-controller.md	4798	0	5	14	1	0	1
audit-artifacts/phase0b-backend/semantic-evidence-radiology-controller.md	6073	0	12	11	4	0	7
audit-artifacts/phase0b-backend/semantic-evidence-labs-controller.md	3097	0	7	8	0	0	1
audit-artifacts/phase0b-backend/semantic-evidence-wallet-service.md	5161	0	4	37	0	0	2
audit-artifacts/phase0b-backend/semantic-evidence-appointments-controller.md	2334	0	8	4	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-appointments-service.md	5228	0	8	24	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labs-service.md	5979	0	10	15	0	1	5
audit-artifacts/phase0b-backend/semantic-evidence-lab-results-controller.md	1306	0	5	3	0	0	1
audit-artifacts/phase0b-backend/semantic-evidence-lab-results-service.md	3278	0	8	2	0	0	5
audit-artifacts/phase0b-backend/semantic-evidence-auth-service.md	7133	0	15	2	25	3	16
audit-artifacts/phase0b-backend/semantic-evidence-auth-guard.md	3096	0	17	2	3	0	6
audit-artifacts/phase0b-backend/semantic-evidence-passkey-service.md	3080	0	12	2	2	0	7
audit-artifacts/phase0b-backend/semantic-evidence-device-trust-service.md	2803	0	5	2	17	0	6
audit-artifacts/phase0b-backend/semantic-evidence-auth-module.md	2097	0	22	2	11	0	2
audit-artifacts/phase0b-backend/semantic-evidence-passkey-controller.md	2567	0	16	2	7	0	0
audit-artifacts/phase0b-backend/semantic-evidence-orders-service.md	6978	0	14	32	17	0	8
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-controllers.md	3470	0	7	6	2	0	0
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-order-service.md	3643	0	7	5	2	0	1
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-orders-provider-service.md	3227	0	9	16	4	0	8
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-allocation-service.md	4701	0	11	13	14	0	0
audit-artifacts/phase0b-backend/semantic-evidence-smart-split-service.md	4329	0	8	4	1	0	2
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-broadcast-service.md	5007	0	9	5	6	0	3
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-chat-service.md	3729	0	9	9	3	0	0
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-shortage-service.md	3502	0	4	2	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-procurement-service.md	2940	0	7	5	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-notification-service.md	2435	0	6	2	1	0	1
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-inventory-ext-service.md	2465	0	5	3	1	0	1
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-seed-service.md	2483	0	5	4	3	3	0
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-module.md	2698	0	3	3	2	0	1
audit-artifacts/phase0b-backend/semantic-evidence-pharmacy-schema.md	4676	0	7	7	7	0	3
audit-artifacts/phase0b-backend/semantic-evidence-procurement-schemas.md	2968	0	8	4	0	0	5
audit-artifacts/phase0b-backend/semantic-evidence-idempotency-interceptor.md	2647	0	10	3	0	0	16
audit-artifacts/phase0b-backend/semantic-evidence-permissions.md	2146	0	9	3	1	0	0
audit-artifacts/phase0b-backend/semantic-evidence-device-limit-guard.md	1696	0	5	2	11	0	5
audit-artifacts/phase0b-backend/semantic-evidence-velocity-guard.md	1664	0	8	7	0	0	5
audit-artifacts/phase0b-backend/semantic-evidence-correlation-middleware.md	1662	0	5	2	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-audit-log-interceptor.md	2576	0	6	2	0	0	2
audit-artifacts/phase0b-backend/semantic-evidence-audit-plugin.md	1882	0	6	2	0	0	1
audit-artifacts/phase0b-backend/semantic-evidence-base-repository.md	1649	0	5	2	1	0	1
audit-artifacts/phase0b-backend/semantic-evidence-mongo-repository.md	2365	0	3	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-common-enums.md	3044	0	4	7	4	0	1
audit-artifacts/phase0b-backend/semantic-evidence-patient-web-auth-contract-spec.md	2781	0	13	2	3	6	5
audit-artifacts/phase0b-backend/semantic-evidence-auth-guard-spec.md	2209	0	10	2	1	2	2
audit-artifacts/phase0b-backend/semantic-evidence-idempotency-spec.md	2246	0	10	5	0	2	10
audit-artifacts/phase0b-backend/semantic-evidence-auth-service-spec.md	2378	0	12	2	2	3	3
audit-artifacts/phase0b-backend/semantic-evidence-audit-log-interceptor-spec.md	1772	0	4	2	0	3	2
audit-artifacts/phase0b-backend/semantic-evidence-labs-engine-controller.md	4162	0	18	17	3	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labs-service-spec.md	2162	0	8	3	1	2	0
audit-artifacts/phase0b-backend/semantic-evidence-lab-results-service-spec.md	1835	0	8	3	3	2	4
audit-artifacts/phase0b-backend/semantic-evidence-lab-pdf-service.md	2624	0	3	2	0	1	0
audit-artifacts/phase0b-backend/semantic-evidence-lab-booking-schema.md	3136	0	6	12	1	0	1
audit-artifacts/phase0b-backend/semantic-evidence-lab-catalog-schema.md	2269	0	7	7	0	0	1
audit-artifacts/phase0b-backend/semantic-evidence-labservice-repository.md	1346	0	6	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labbooking-repository.md	1396	0	6	3	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labsample-repository.md	1494	0	7	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labresult-repository.md	1465	0	4	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-labs-module.md	2164	0	4	2	1	0	2
audit-artifacts/phase0b-backend/semantic-evidence-labs-seed.md	2441	0	2	6	6	0	0
audit-artifacts/phase0b-backend/semantic-evidence-radiology-report-storage-spec.md	1930	0	4	2	3	5	1
audit-artifacts/phase0b-backend/semantic-evidence-radiology-service.md	6968	0	10	21	2	0	2
audit-artifacts/phase0b-backend/semantic-evidence-radiology-booking-schema.md	3000	0	6	11	1	0	2
audit-artifacts/phase0b-backend/semantic-evidence-radiologybooking-repository.md	1508	0	5	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-radiologyservice-repository.md	1505	0	4	1	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-radiology-provider-controller.md	4554	0	7	12	0	0	10
audit-artifacts/phase0b-backend/semantic-evidence-radiology-provider-controller-spec.md	1946	0	3	4	0	3	4
audit-artifacts/phase0b-backend/semantic-evidence-radiology-module.md	3386	0	2	5	2	0	1
audit-artifacts/phase0b-backend/semantic-evidence-radiology-seed.md	1977	0	2	5	1	0	0
audit-artifacts/phase0b-backend/semantic-evidence-radiology-notification-listener.md	2513	0	4	2	3	0	6
audit-artifacts/phase0b-backend/semantic-evidence-radiology-reminder-cron.md	2402	0	2	2	0	0	0
audit-artifacts/phase0b-backend/semantic-evidence-radiology-labresult-repository.md	1506	0	4	2	0	0	4
audit-artifacts/phase0b-backend/semantic-evidence-provider-auth-service.md	5617	0	12	0	4	0	5
audit-artifacts/phase0b-backend/semantic-evidence-provider-otp-service.md	3315	0	4	2	2	0	0
audit-artifacts/phase0b-backend/semantic-evidence-health.md	6198	0	3	0	4	0	7
audit-artifacts/phase0b-backend/semantic-evidence-scheduling-engine-service.md	3446	0	5	2	1	0	4
audit-artifacts/phase0b-backend/semantic-evidence-provider-request-engine-service.md	4534	0	12	4	0	0	3
audit-artifacts/phase0b-backend/semantic-evidence-provider-scoring-service.md	3100	0	3	2	0	0	1
audit-artifacts/phase0b-backend/semantic-evidence-assignment-strategy-service.md	4686	0	6	6	0	0	5
audit-artifacts/phase0b-backend/semantic-evidence-provider-matching-service.md	3877	0	7	5	0	1	13
audit-artifacts/phase0b-backend/semantic-evidence-service-capability-service.md	4384	0	5	7	3	0	5
audit-artifacts/phase0b-backend/semantic-evidence-provider-profile-service.md	4896	0	5	0	0	0	6
audit-artifacts/phase0b-backend/semantic-evidence-provider-notifications-service.md	2379	0	6	2	0	0	1
